iter	MAE
0	253.963817
1	236.8400099
2	221.0732608
3	206.6881099
4	194.0754498
5	183.0721702
6	173.4032867
7	165.5309143
8	158.5300908
9	152.3173696
10	146.6339246
11	140.1303404
12	134.6187288
13	130.3417014
14	127.1168789
15	123.2744493
16	119.9993498
17	117.0056364
18	114.0538862
19	111.8154262
20	109.6387686
21	107.6994287
22	106.3723519
23	104.8358351
24	103.6235931
25	102.3983167
26	101.3712922
27	100.324264
28	99.54787789
29	98.74919085
30	98.06564451
31	97.39121104
32	96.7100739
33	96.22508325
34	95.73078702
35	95.19739673
36	94.59549494
37	93.98394776
38	93.61440217
39	93.09280917
40	92.61816006
41	92.19587865
42	91.82043327
43	91.54112043
44	91.2313086
45	90.84188137
46	90.41317792
47	90.22876769
48	89.95139347
49	89.69742483
50	89.53438201
51	89.3570941
52	88.91550683
53	88.7814293
54	88.61991981
55	88.44900468
56	88.35038776
57	88.22697332
58	87.99296963
59	87.73590994
60	87.59150212
61	87.48859989
62	87.41755457
63	87.08380673
64	86.94407067
65	86.79218707
66	86.59652807
67	86.34791495
68	86.25762428
69	86.12002352
70	85.87798394
71	85.78092638
72	85.71774073
73	85.40235017
74	85.17607545
75	84.91167763
76	84.74295434
77	84.63663586
78	84.53426206
79	84.39930855
80	84.2766829
81	84.20786379
82	84.03869572
83	83.88444324
84	83.71523889
85	83.54209363
86	83.50204881
87	83.32226117
88	83.17346248
89	83.09526998
90	82.89013745
91	82.81853703
92	82.68354357
93	82.51274163
94	82.42561591
95	82.3201957
96	82.20683459
97	82.05972027
98	81.894844
99	81.79374397
100	81.5686808
101	81.50657036
102	81.39211218
103	81.11612522
104	81.04570514
105	80.93957422
106	80.88949038
107	80.73001131
108	80.69310329
109	80.55081413
110	80.47183457
111	80.37042055
112	80.26106362
113	80.19596409
114	80.02695398
115	79.94934657
116	79.87134325
117	79.7835472
118	79.69472268
119	79.61552746
120	79.52936045
121	79.36979397
122	79.29160752
123	79.07625726
124	78.96174722
125	78.71712029
126	78.60536133
127	78.48248061
128	78.38211579
129	78.25450216
130	78.14349214
131	78.06485534
132	77.93453294
133	77.86383096
134	77.77564727
135	77.68570069
136	77.63534066
137	77.54247188
138	77.48956664
139	77.40689742
140	77.2808467
141	77.18784578
142	77.13487366
143	77.09089682
144	77.00519416
145	76.85730073
146	76.7963308
147	76.7240842
148	76.66368959
149	76.58061427
150	76.51067279
151	76.39431154
152	76.33443053
153	76.1822303
154	76.01211333
155	75.92960175
156	75.83021643
157	75.69814531
158	75.59199595
159	75.45168975
160	75.33948055
161	75.29726127
162	75.14926714
163	75.04937591
164	74.97600098
165	74.87102287
166	74.80438437
167	74.72592013
168	74.65741161
169	74.5956656
170	74.56916086
171	74.48703841
172	74.38090175
173	74.28774606
174	74.15875853
175	74.12428723
176	74.04507764
177	73.95539209
178	73.88730235
179	73.83533939
180	73.79820655
181	73.71928751
182	73.60478306
183	73.56429113
184	73.51611965
185	73.45677252
186	73.33932333
187	73.26676312
188	73.18297279
189	73.12337456
190	73.08736661
191	72.95005978
192	72.9117564
193	72.83660804
194	72.77910455
195	72.7351891
196	72.68601383
197	72.62720834
198	72.57729321
199	72.54928113
200	72.45284489
201	72.37829172
202	72.33124487
203	72.24174335
204	72.20241851
205	72.16619543
206	72.13072646
207	72.07383082
208	71.93940709
209	71.86213697
210	71.78367946
211	71.73358738
212	71.66003763
213	71.594402
214	71.49836984
215	71.46144229
216	71.36870721
217	71.3043647
218	71.26671128
219	71.22547665
220	71.15053633
221	71.0607882
222	71.03394151
223	70.97144156
224	70.91351125
225	70.85246802
226	70.7891083
227	70.72068802
228	70.6509989
229	70.59759991
230	70.5086021
231	70.47687992
232	70.43384024
233	70.36172658
234	70.29965211
235	70.28090713
236	70.23829215
237	70.18832499
238	70.14430914
239	70.09611813
240	70.0601538
241	69.9845121
242	69.9464259
243	69.90957289
244	69.87594846
245	69.85792162
246	69.79088843
247	69.77333375
248	69.7248503
249	69.66305669
250	69.60157377
251	69.54358499
252	69.50101519
253	69.40029808
254	69.33139506
255	69.30726586
256	69.26757315
257	69.24274917
258	69.17536672
259	69.12523669
260	69.06808185
261	69.03552842
262	68.99897111
263	68.94472782
264	68.90143224
265	68.86558412
266	68.81768738
267	68.79053874
268	68.75900097
269	68.7057497
270	68.65016969
271	68.58929996
272	68.55791026
273	68.50488694
274	68.48549051
275	68.44264303
276	68.41101
277	68.33449721
278	68.28156781
279	68.25758616
280	68.23239857
281	68.15970114
282	68.11986914
283	68.07136408
284	68.03581582
285	68.01292452
286	67.95378975
287	67.93532985
288	67.89058402
289	67.85972583
290	67.82287295
291	67.79211941
292	67.73311406
293	67.70797448
294	67.6701761
295	67.60868202
296	67.55614517
297	67.52103833
298	67.49826293
299	67.41434468
300	67.35291086
301	67.29139383
302	67.27293542
303	67.24599464
304	67.18964352
305	67.15092725
306	67.11462327
307	67.06797484
308	67.03763329
309	66.98843168
310	66.9506947
311	66.90430213
312	66.85429217
313	66.83193211
314	66.78258039
315	66.72579414
316	66.65321449
317	66.62475708
318	66.59705325
319	66.55707672
320	66.51793861
321	66.47305894
322	66.4531791
323	66.440928
324	66.4118
325	66.38910034
326	66.35534536
327	66.3238436
328	66.27713834
329	66.21507618
330	66.20320966
331	66.17849457
332	66.13500514
333	66.09183612
334	66.07254486
335	66.04504404
336	65.97985154
337	65.95088952
338	65.89199754
339	65.86365466
340	65.85370088
341	65.82749051
342	65.76336962
343	65.75284276
344	65.71429009
345	65.70147979
346	65.63244427
347	65.59723197
348	65.58236918
349	65.56513818
350	65.54320481
351	65.53156507
352	65.50118565
353	65.47012638
354	65.42866748
355	65.36964367
356	65.32516291
357	65.28565142
358	65.26821933
359	65.22930796
360	65.21977163
361	65.18098396
362	65.16224499
363	65.104821
364	65.08043908
365	65.04987713
366	65.03576895
367	64.99447841
368	64.96920381
369	64.93152362
370	64.89912906
371	64.86563189
372	64.84078562
373	64.82983727
374	64.80331752
375	64.76493301
376	64.73984659
377	64.70514466
378	64.63205821
379	64.60732898
380	64.5527513
381	64.51237478
382	64.48998319
383	64.47218487
384	64.44192509
385	64.38412122
386	64.36387691
387	64.33473046
388	64.32136965
389	64.30692734
390	64.2755003
391	64.25370709
392	64.2161604
393	64.19621044
394	64.18575211
395	64.14223463
396	64.12240424
397	64.08358343
398	64.05974832
399	64.05292757
400	64.0148642
401	63.98857093
402	63.93480407
403	63.90817483
404	63.85825212
405	63.83314745
406	63.80743743
407	63.78666724
408	63.77228288
409	63.7484958
410	63.72295125
411	63.70268323
412	63.65641811
413	63.62501983
414	63.58608697
415	63.56542981
416	63.55495982
417	63.53658659
418	63.50627131
419	63.47921117
420	63.460166
421	63.44565721
422	63.41719622
423	63.39725372
424	63.3725339
425	63.34360314
426	63.31585739
427	63.30371636
428	63.28942075
429	63.26245352
430	63.24898943
431	63.2231749
432	63.20874449
433	63.19290896
434	63.17800049
435	63.1663627
436	63.1586192
437	63.14484002
438	63.1321808
439	63.10925177
440	63.06620067
441	63.03180031
442	63.01384381
443	62.96635679
444	62.9413954
445	62.9213727
446	62.89638614
447	62.88025429
448	62.8465424
449	62.81838377
450	62.800543
451	62.79030421
452	62.77746205
453	62.74432388
454	62.71161316
455	62.67999514
456	62.6380663
457	62.62138474
458	62.54985786
459	62.5297961
460	62.50129673
461	62.46799666
462	62.45694962
463	62.44294078
464	62.42030059
465	62.3896292
466	62.3739453
467	62.36181324
468	62.34369207
469	62.32775027
470	62.29911358
471	62.28768239
472	62.26873149
473	62.25143696
474	62.21127345
475	62.18758443
476	62.16781456
477	62.14666485
478	62.11679898
479	62.05411646
480	62.03649795
481	62.01384557
482	62.00583708
483	61.98765797
484	61.96500702
485	61.94047326
486	61.92935588
487	61.90782231
488	61.89025724
489	61.84599163
490	61.82763012
491	61.80715848
492	61.78114869
493	61.75697948
494	61.72811048
495	61.69845588
496	61.65325962
497	61.62890651
498	61.61147633
499	61.57466938
500	61.5595728
501	61.54104531
502	61.53268975
503	61.51897913
504	61.49786237
505	61.47468953
506	61.45749589
507	61.42692964
508	61.40469087
509	61.39481905
510	61.37341783
511	61.32926511
512	61.31915853
513	61.28011088
514	61.25517391
515	61.2280691
516	61.20769728
517	61.1889269
518	61.1691039
519	61.15175696
520	61.13325443
521	61.09280169
522	61.07713795
523	61.05085178
524	61.0367671
525	61.01377445
526	60.99806786
527	60.98332624
528	60.96403574
529	60.91486848
530	60.89801082
531	60.88621713
532	60.84221224
533	60.83106699
534	60.80242204
535	60.78097422
536	60.77019499
537	60.72647698
538	60.70623119
539	60.69415814
540	60.628055
541	60.60238423
542	60.58645432
543	60.57397569
544	60.55987984
545	60.54235322
546	60.5278697
547	60.4993026
548	60.48656188
549	60.45978787
550	60.42628915
551	60.41052513
552	60.39538623
553	60.38335051
554	60.36857889
555	60.36156585
556	60.34985975
557	60.33514142
558	60.31454372
559	60.30847749
560	60.29006611
561	60.27369178
562	60.25534842
563	60.22944026
564	60.21926404
565	60.18647858
566	60.16735754
567	60.16246466
568	60.14941684
569	60.14514648
570	60.14029143
571	60.10650166
572	60.09397071
573	60.07788183
574	60.060707
575	60.03681005
576	60.02383257
577	60.01387067
578	59.95893276
579	59.93941352
580	59.93059092
581	59.9077263
582	59.90055642
583	59.8907025
584	59.88332074
585	59.87712952
586	59.8424182
587	59.83485503
588	59.813821
589	59.80067236
590	59.78916329
591	59.73076641
592	59.72443038
593	59.70750897
594	59.69647658
595	59.68475071
596	59.67857125
597	59.6484179
598	59.6164123
599	59.59658841
600	59.59102814
601	59.58107418
602	59.57823235
603	59.56829116
604	59.55486932
605	59.53911341
606	59.52121378
607	59.51386566
608	59.50558564
609	59.49849416
610	59.46417952
611	59.45199805
612	59.41709791
613	59.40915385
614	59.39628409
615	59.38227335
616	59.37337695
617	59.36262442
618	59.34647906
619	59.32817558
620	59.31493739
621	59.30583055
622	59.28349392
623	59.26700511
624	59.25744616
625	59.23497481
626	59.21842253
627	59.20172432
628	59.18755002
629	59.17068145
630	59.1500217
631	59.13520193
632	59.13090036
633	59.11837386
634	59.09770151
635	59.05752763
636	59.03700749
637	59.02427336
638	59.00763998
639	58.98075758
640	58.94583194
641	58.92678031
642	58.90797081
643	58.88991117
644	58.87909892
645	58.84603203
646	58.82522267
647	58.80551332
648	58.78854336
649	58.77865523
650	58.7684249
651	58.75806856
652	58.74534138
653	58.73204904
654	58.71782658
655	58.69329111
656	58.66624398
657	58.64857965
658	58.62736357
659	58.58404417
660	58.57001531
661	58.55492485
662	58.54386908
663	58.53302534
664	58.50505785
665	58.50115204
666	58.488292
667	58.48225911
668	58.46031746
669	58.43950626
670	58.42256369
671	58.40902864
672	58.39942451
673	58.38447539
674	58.36917252
675	58.36313235
676	58.35802421
677	58.34775783
678	58.33487842
679	58.31854686
680	58.29470888
681	58.28301587
682	58.26868522
683	58.26257103
684	58.25268451
685	58.23917321
686	58.2232985
687	58.21475288
688	58.20478917
689	58.19692576
690	58.16877799
691	58.15785379
692	58.15125451
693	58.14350755
694	58.13680368
695	58.13117734
696	58.11239398
697	58.10099641
698	58.09223579
699	58.08481571
700	58.07129099
701	58.04958598
702	58.03540775
703	58.02268967
704	57.99290246
705	57.981041
706	57.9739852
707	57.96691605
708	57.95872679
709	57.93543161
710	57.92510687
711	57.9144494
712	57.90845312
713	57.88560049
714	57.88206734
715	57.86746877
716	57.85007832
717	57.84219824
718	57.83317511
719	57.81938307
720	57.80337725
721	57.7896017
722	57.78226708
723	57.77256545
724	57.76121801
725	57.74975704
726	57.7349725
727	57.72385638
728	57.71524394
729	57.70538168
730	57.68996679
731	57.65894122
732	57.64552366
733	57.64015472
734	57.62420307
735	57.60890626
736	57.59017984
737	57.58484219
738	57.57166595
739	57.54217539
740	57.53572397
741	57.51568318
742	57.49577919
743	57.48762095
744	57.46708355
745	57.45693248
746	57.44666198
747	57.43762794
748	57.42743536
749	57.41499816
750	57.37270108
751	57.36789177
752	57.35581078
753	57.31178186
754	57.30549265
755	57.29524892
756	57.28974751
757	57.2742664
758	57.27123827
759	57.2681443
760	57.26079723
761	57.24853685
762	57.24123477
763	57.20071137
764	57.18767753
765	57.13070958
766	57.11015448
