iter	Passed	Remaining
0	5	5368
1	12	6001
2	18	6041
3	28	7073
4	33	6567
5	37	6215
6	44	6261
7	48	6027
8	53	5842
9	58	5779
10	63	5707
11	67	5573
12	72	5484
13	77	5441
14	81	5354
15	85	5263
16	90	5251
17	95	5196
18	99	5131
19	103	5084
20	108	5059
21	112	5008
22	116	4957
23	121	4956
24	125	4904
25	130	4871
26	134	4848
27	138	4819
28	142	4785
29	146	4746
30	151	4737
31	155	4708
32	159	4682
33	163	4647
34	168	4649
35	172	4623
36	176	4595
37	180	4580
38	185	4571
39	190	4572
40	194	4547
41	200	4574
42	205	4564
43	209	4559
44	215	4563
45	219	4553
46	224	4547
47	229	4552
48	233	4541
49	240	4576
50	243	4532
51	249	4557
52	254	4542
53	258	4525
54	262	4511
55	266	4494
56	270	4475
57	274	4459
58	279	4459
59	283	4449
60	288	4438
61	292	4426
62	297	4422
63	301	4412
64	305	4395
65	309	4379
66	313	4367
67	317	4355
68	321	4340
69	325	4328
70	329	4313
71	333	4299
72	337	4282
73	341	4271
74	345	4258
75	349	4244
76	353	4231
77	356	4218
78	360	4207
79	364	4193
80	368	4178
81	372	4165
82	375	4152
83	379	4141
84	383	4131
85	387	4122
86	391	4111
87	395	4102
88	400	4094
89	404	4087
90	408	4082
91	412	4074
92	418	4079
93	422	4074
94	426	4065
95	430	4054
96	434	4045
97	439	4042
98	443	4033
99	446	4022
100	450	4013
101	454	4002
102	458	3991
103	462	3985
104	466	3976
105	470	3966
106	474	3957
107	478	3949
108	481	3938
109	485	3932
110	489	3923
111	493	3914
112	497	3905
113	501	3897
114	505	3890
115	509	3885
116	513	3876
117	517	3869
118	521	3862
119	525	3854
120	529	3847
121	533	3841
122	537	3833
123	541	3827
124	545	3819
125	549	3812
126	553	3804
127	557	3797
128	561	3788
129	564	3781
130	568	3774
131	572	3766
132	576	3759
133	580	3753
134	585	3749
135	589	3744
136	593	3739
137	597	3732
138	602	3729
139	606	3726
140	612	3733
141	618	3735
142	622	3729
143	626	3726
144	631	3725
145	636	3720
146	641	3723
147	646	3721
148	650	3716
149	655	3712
150	662	3723
151	666	3721
152	671	3714
153	675	3709
154	679	3702
155	682	3694
156	686	3687
157	690	3681
158	694	3674
159	698	3667
160	702	3662
161	706	3655
162	710	3649
163	715	3644
164	718	3637
165	722	3632
166	726	3624
167	730	3619
168	734	3613
169	738	3607
170	742	3600
171	746	3594
172	750	3587
173	754	3582
174	758	3575
175	762	3568
176	766	3562
177	769	3555
178	774	3553
179	779	3548
180	783	3545
181	788	3542
182	794	3545
183	798	3540
184	802	3536
185	806	3531
186	811	3526
187	815	3521
188	820	3522
189	825	3517
190	829	3513
191	835	3514
192	839	3511
193	844	3507
194	849	3505
195	856	3515
196	862	3514
197	868	3519
198	873	3515
199	877	3509
200	884	3516
201	889	3512
202	892	3505
203	899	3510
204	903	3505
205	907	3499
206	912	3496
207	917	3492
208	921	3487
209	925	3482
210	930	3481
211	935	3476
212	939	3470
213	943	3464
214	948	3461
215	952	3456
216	956	3450
217	960	3444
218	964	3441
219	969	3438
220	975	3437
221	979	3432
222	984	3431
223	988	3425
224	993	3421
225	997	3416
226	1001	3411
227	1005	3406
228	1009	3400
229	1015	3398
230	1019	3392
231	1023	3387
232	1027	3382
233	1032	3379
234	1036	3373
235	1040	3367
236	1044	3362
237	1048	3356
238	1052	3350
239	1056	3344
240	1059	3338
241	1063	3332
242	1068	3327
243	1072	3322
244	1076	3316
245	1080	3310
246	1084	3306
247	1088	3300
248	1092	3295
249	1096	3289
250	1100	3284
251	1104	3279
252	1108	3274
253	1112	3268
254	1116	3263
255	1121	3259
256	1125	3253
257	1130	3250
258	1134	3245
259	1141	3249
260	1146	3246
261	1150	3241
262	1155	3236
263	1160	3235
264	1164	3229
265	1168	3225
266	1173	3220
267	1177	3215
268	1181	3210
269	1185	3204
270	1189	3199
271	1193	3193
272	1197	3188
273	1201	3182
274	1205	3177
275	1209	3171
276	1213	3166
277	1217	3160
278	1221	3157
279	1225	3152
280	1230	3147
281	1234	3142
282	1238	3138
283	1242	3133
284	1246	3127
285	1250	3122
286	1254	3117
287	1259	3112
288	1263	3107
289	1267	3103
290	1271	3097
291	1275	3093
