Price(M),Floor,Area (Saleable),Trans Date,Age,Club,DisMTR(km),DisCBD(km),SchoolZone
1250,62,482,17/8/2018,17.67,1,1,13.8,0
1169,61,604,14/5/2018,17.67,1,1,13.8,0
864,59,604,16/5/2018,17.67,1,1,13.8,0
888,48,455,28/8/2018,17.67,1,1,13.8,0
770,41,451,7/2/2018,17.67,1,1,13.8,0
930,40,566,5/3/2018,17.67,1,1,13.8,0
833,38,451,1/6/2018,17.67,1,1,13.8,0
788,33,451,28/2/2018,17.67,1,1,13.8,0
800,26,615,10/8/2018,17.67,1,1,13.8,0
980,25,605,12/3/2018,17.67,1,1,13.8,0
722,21,457,20/11/2018,17.67,1,1,13.8,0
864,18,566,25/1/2018,17.67,1,1,13.8,0
960,17,566,2/5/2018,17.67,1,1,13.8,0
845,12,451,27/7/2018,17.67,1,1,13.8,0
968,9,605,27/4/2018,17.67,1,1,13.8,0
1250,9,741,29/1/2018,17.67,1,1,13.8,0
1088,46,595,7/12/2018,17.67,1,1,13.8,0
1045,43,598,7/5/2018,17.67,1,1,13.8,0
968,41,566,19/6/2018,17.67,1,1,13.8,0
788,31,455,28/2/2018,17.67,1,1,13.8,0
1255,28,733,18/5/2018,17.67,1,1,13.8,0
750,22,436,10/7/2018,17.67,1,1,13.8,0
950,15,596,7/11/2018,17.67,1,1,13.8,0
957,7,605,8/3/2018,17.67,1,1,13.8,0
1200,55,620,13/3/2018,17.67,1,1,13.8,0
1600,52,752,16/11/2018,17.67,1,1,13.8,0
870,49,455,30/7/2018,17.67,1,1,13.8,0
865,48,455,16/8/2018,17.67,1,1,13.8,0
785,46,436,21/6/2018,17.67,1,1,13.8,0
1028,42,605,7/12/2018,17.67,1,1,13.8,0
450,30,565,25/4/2018,17.67,1,1,13.8,0
490,22,605,20/6/2018,17.67,1,1,13.8,0
772,11,457,6/2/2018,17.67,1,1,13.8,0
1180,56,604,18/5/2018,17.67,1,1,13.8,0
1050,43,616,30/10/2018,17.67,1,1,13.8,0
800,40,455,16/4/2018,17.67,1,1,13.8,0
789,38,455,23/3/2018,17.67,1,1,13.8,0
1200,36,733,2/5/2018,17.67,1,1,13.8,0
598,29,323,11/1/2018,17.67,1,1,13.8,0
900,19,567,16/7/2018,17.67,1,1,13.8,0
975,18,567,13/7/2018,17.67,1,1,13.8,0
815,48,492,22/3/2018,17.67,1,1,13.8,0
1668,39,847,4/4/2018,17.67,1,1,13.8,0
845,33,492,27/6/2018,17.67,1,1,13.8,0
645,32,732,8/11/2018,17.67,1,1,13.8,0
1396,31,811,18/4/2018,17.67,1,1,13.8,0
897,26,493,16/8/2018,17.67,1,1,13.8,0
798,51,455,15/5/2018,17.67,1,1,13.8,0
1660,50,830,10/7/2018,17.67,1,1,13.8,0
1460,49,729,13/7/2018,17.67,1,1,13.8,0
1100,30,729,6/8/2018,17.67,1,1,13.8,0
1400,22,811,26/6/2018,17.67,1,1,13.8,0
1395,59,728,4/7/2018,17.67,1,1,13.8,0
800,56,465,4/4/2018,17.67,1,1,13.8,0
950,48,594,6/2/2018,17.67,1,1,13.8,0
723,46,465,15/2/2018,17.67,1,1,13.8,0
180,43,811,6/3/2018,17.67,1,1,13.8,0
